"Project ID","ARB ID","Cooperative/ Aggregate ID","Project Developer","Project Owner","Project Name","Offset Project Operator","Authorized Project Designee","Verification Body","Project Type","Status","ARB Project Status","Project Site Location","Project Site State","Project Site Country","Additional Certification(s)","SDG Impact","Project Notes","Total Number of Offset Credits Registered ","Project Listed Date","Project Registered Date","Documents","Data","Project Website",
"CAR1323","CAOD6323","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2019-4","A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Listed","Inactive","Wood County, Bowling Green, Ohio","OHIO","US","","","","","10/16/2018","","View","View","www.agasamericas.com",
"CAR1493","CAOD6493","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 3-2021","Reclamation Technologies, Inc., dba A-Gas","None","SES, Inc.","Ozone Depleting Substances - U.S. - ARB Compliance","Listed","Proposed Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","","06/18/2021","","View","View","www.agasamericas.com",
"CAR1413","CAOD6413","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 4-2020","Reclamation Technologies, Inc., dba A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active Registry Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","87667","05/06/2020","08/20/2020","View","View","www.agasamericas.com",
"CAR1498","CAOD6498","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 4-2021","Reclamation Technologies, Inc., dba A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Listed","Proposed Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","","06/30/2021","","View","View","www.agasamericas.com",
"CAR1441","CAOD6441","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 5-2020","Reclamation Technologies, Inc., dba A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Registered","Proposed Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","78211","07/15/2020","11/07/2020","View","View","www.agasamericas.com",
"CAR1171","CAOD5185","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS Americas 2015-1","Reclamation Technologies, Inc.","none","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","134418","05/15/2015","10/05/2015","View","View","",
"CAR1236","CAOD5336","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2016-2","Reclamation Technologies, Inc. (dba A-Gas Americas, Inc.)","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","181191","06/01/2016","08/23/2016","View","View","www.agasamericas.com",
"CAR1249","CAOD5298","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2017-1","Reclamation Technologies, Inc.","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","141207","12/15/2016","03/09/2017","View","View","www.agas.com",
"CAR1252","CAOD5318","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2017-2","Reclamation Technologies, Inc.","none","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","140916","02/14/2017","05/04/2017","View","View","www.agasamericas.com",
"CAR1254","CAOD5320","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2017-3","Reclamation Technologies, Inc.","none","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","Bowling Green","OHIO","US","","","","140709","03/04/2017","06/02/2017","View","View","www.agasamericas.com",
"CAR1263","CAOD5344","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2017-4","Reclamation Technologies, Inc. dba A-Gas Americas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","122129","05/16/2017","08/02/2017","View","View","www.agasamericas.com",
"CAR1268","CAOD5368","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2017-6","Reclamation Technologies, Inc. dba A-Gas Americas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","55404","07/26/2017","09/22/2017","View","View","www.agasamericas.com",
"CAR1270","CAOD5362","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2017-8","Reclamation Technologies, Inc. dba A-Gas Americas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","223464","07/26/2017","10/27/2017","View","View","www.agasamericas.com",
"CAR1286","CAOD5326","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2018-1","Reclamation Technologies, Inc dba A-Gas Americas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","Bowling Green","OHIO","US","","","","154972","11/10/2017","02/06/2018","View","View","www.agasamericas.com",
"CAR1290","CAOD5380","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2018-2","Reclamation Technologies, Inc dba A-Gas Americas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","Bowling Green","OHIO","US","","","","119844","12/15/2017","02/20/2018","View","View","www.agasamericas.com",
"CAR1240","CAOD5340","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas O'Hare","Reclamation Technologies, Inc. (dba A-Gas Americas, Inc.)","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","111348","09/26/2016","12/06/2016","View","View","www.agasamericas.com",
"CAR1011","CAOD5018","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS RemTec 2013-1","Reclamation Technologies, Inc. dba A-GAS RemTec","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","93055","08/23/2013","05/22/2014","View","View","www.remtec.net",
"CAR1051","CAOD5039","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS RemTec 2013-4","Reclamation Technologies, Inc dba A-GAS RemTec","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green Ohio","OHIO","US","","","","191960","02/06/2014","12/10/2014","View","View","www.remtec.net",
"CAR1069","CAOD5062","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS RemTec 2013-5","Reclamation Technologies, Inc.","None","Ruby Canyon Environmental, Inc.","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","","Bowling Green, Ohio","OHIO","US","","","","129101","05/07/2014","05/05/2015","View","View","www.remtec.net",
"CAR1072","CAOD5067","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS RemTec 2014-1","Reclamation Technologies, Inc","None","Ruby Canyon Environmental, Inc.","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","129838","05/29/2014","10/02/2014","View","View","www.remtec.net",
"CAR1089","CAOD5079","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS RemTec 2014-2","Reclamation Technologies, Inc.","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","107744","07/23/2014","05/20/2015","View","View","www.remtec.net",
"CAR1093","CAOD5092","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS RemTec 2014-3","Reclamation Technologies, Inc.","None","SCS Engineers","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","","Bowling Green","OHIO","US","","","","148331","09/03/2014","11/05/2015","View","View","www.remtec.net",
"CAR1179","CAOD5201","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS RemTec 2015-2","Reclamation Technologies, Inc.","none","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","","Bowling Green","OHIO","US","","","","135577","09/01/2015","01/30/2016","View","View","www.agasamericas.com",
"CAR1412","CAOD6412","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas UCSD1","Reclamation Technologies, Inc., dba A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Registered","Proposed Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","24304","04/27/2020","08/18/2020","View","View","www.agasamericas.com",
"CAR1065","CALS5071","","California Bioenergy, LLC","California Bioenergy, LLC","ABEC New Hope LLC","California Bioenergy LLC","None","","Livestock - ARB Compliance","Completed","Terminated","9547 New Hope Road, Galt, CA 95632","CALIFORNIA","US","","","Terminated due to project developer request, 3/31/2020","4978","06/24/2014","04/06/2020","View","View","www.calbioenergy.com",
"CAR1298","CALS5398","","Camco Offsets I, LLC","Camco Offsets I, LLC","Adirondack Farms","Adirondack Farms, LLC","Camco Offsets I, LLC","Dillon Consulting","Livestock - ARB Compliance","Registered","Active ARB Project","Peru, NY","NEW YORK","US","","","","30256","03/27/2018","07/30/2019","View","View","",
"CAR1187","CAFR5217","","Mendocino Redwood Company, LLC","Mendocino Redwood Company, LLC","Albion","Mendocino Redwood Company","None","","Improved Forest Management - ARB Compliance","Completed","Inactive","Mendocino County","CALIFORNIA","US","","","","","10/21/2015","","View","View","",
"CAR807","NA","","Alcoa Gas Producers, LLC","Alcoa Gas Producers, LLC","Alcoa Landfill Gas Destruction Project","","","","Landfill Gas Capture/Combustion","Registered","Not ARB Eligible","Blount County; Friendsville","TENNESSEE","US","","","","234874","01/31/2018","02/24/2012","View","View","",
"CAR655","NA","","Northeast Wilderness Trust","Northeast Wilderness Trust","Alder Stream Preserve","","","","Improved Forest Management","Transitioned","Not ARB Eligible","Piscataquis County, Maine","MAINE","US","","","","36596","12/19/2013","03/02/2015","View","View","www.forestcarbonpartners.com",
"CAR1364","NA","","ASOCIACIÓN DE SILVICULTORES DE LA REGIÓN FORESTAL PACHUCA Y TULANCINGO, A.C.","Ejido Alhuajoyucan","Alhuajoyucan - ASRTulancingo","","","","Forestry - MX","Registered","Not ARB Eligible","Cuatepec; Alhuajoyucan","HIDALGO","MX","","","","829","06/24/2019","02/25/2021","View","View","",
"CAR1001","NA","","Camco International Group, Inc.","Camco International Group, Inc.","Alliance Dairies","Camco International Group, Inc.","None","","Livestock Gas Capture/Combustion","Completed","Not ARB Eligible","Gilchrist County; Trenton, FL","FLORIDA","US","","","","9092","10/16/2013","04/09/2015","View","View","",
"CAR497","NA","","Mattamuskeet Ventures I,  LLC","Mattamuskeet Ventures I,  LLC","Alligator River Avoided Conversion","","None","","Avoided Conversion","Registered","Not ARB Eligible","Hyde County","NORTH CAROLINA","US","","","","681964","09/29/2009","05/09/2011","View","View","",
"CAR459","NA","","Montauk Energy Capital, LLC","Montauk Energy Capital, LLC","American Environmental Landfill (AEL)","","","Ruby Canyon Environmental, Inc.","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Sand Springs (Osage County) near Tulsa","OKLAHOMA","US","","","Project moved to Completed for exceeding NMOC Threshold: GCCS installed by May 8, 2012","177468","06/16/2009","03/22/2010","View","View","www.montaukenergy.com",
"CAR1473","NA","","Radicle Group Inc.","Radicle Group Inc.","Anderson Grassland Project","","","","Canada Grassland","Listed","Not ARB Eligible","Beaver County","ALBERTA","CA","","","","","05/25/2021","","View","View","",
"CAR888","NA","","Angelina County","Angelina County","Angelina County Landfill","","","","Landfill Gas Capture/Combustion","Registered","Not ARB Eligible","Lufkin","TEXAS","US","","","","229222","10/26/2011","01/11/2014","View","View","",
"CAR517","NA","","Element Markets Emissions, LLC","Element Markets Emissions, LLC","Anson County Landfill","","","NSF Certification LLC","Landfill Gas Capture/Combustion","Registered","Not ARB Eligible","Polkton","NORTH CAROLINA","US","","","","80443","06/17/2020","01/21/2011","View","View","",
"CAR1324","CALS6324","","NativeEnergy, a Public Benefit Corporation","NativeEnergy, a Public Benefit Corporation","AR-Joy Farm Dairy Digester","AR-Joy Farms, LLC","NativeEnergy, Inc","Agri-Waste Technology, Inc.","Livestock - ARB Compliance","Listed","Proposed Project","Cochranville","PENNSYLVANIA","US","","","","","01/04/2019","","View","View","",
"CAR935","NA","","City of Arcata","City of Arcata","Arcata City Forest Barnum Tract","","","","Improved Forest Management","Registered","Not ARB Eligible","Humboldt County","CALIFORNIA","US","","","","48689","01/14/2012","09/07/2012","View","View","www.cityofarcata.org",
"CAR575","NA","","City of Arcata","City of Arcata","Arcata Sunnybrae Tract","","","","Improved Forest Management","Registered","Not ARB Eligible","Humboldt County","CALIFORNIA","US","","","","46787","12/21/2009","09/07/2012","View","View","www.cityofarcata.org",
"CAR1365","NA","","ASOCIACIÓN DE SILVICULTORES DE LA REGIÓN FORESTAL PACHUCA Y TULANCINGO, A.C.","Conjunto Predial Arturo Gomez Canales","Arturo Gomez Canales - ASRTulancingo","","","Asociacion de Normalizacion y Certificacion, A.C.","Forestry - MX","Listed","Not ARB Eligible","Acaxochitlan","HIDALGO","MX","","","","","06/24/2019","","View","View","",
"CAR1094","CAFR5095","","Nisqually Land Trust","Nisqually Land Trust","Ashford III","Nisqually Land Trust, Joe Kane","None","Ruby Canyon Environmental, Inc.","Improved Forest Management - ARB Compliance","Registered","Active ARB Project","Ashford","WASHINGTON","US","","","","46876","09/23/2014","10/22/2015","View","View","",
"CAR881","NA","","Element Markets Emissions, LLC","Element Markets Emissions, LLC","Athens-Clarke County Landfill Project","","","","Landfill Gas Capture/Combustion","Registered","Not ARB Eligible","Athens-Clarke County, Georgia","GEORGIA","US","","","","149029","07/21/2011","02/12/2014","View","View","N/A",
"CAR607","NA","","Aurora Ridge Dairy, LLC","Aurora Ridge Dairy, LLC","Aurora Ridge","","","","Livestock Gas Capture/Combustion","Completed","Not ARB Eligible","Cayuga County","NEW YORK","US","","","","42642","05/06/2010","07/17/2012","View","View","",
"CAR1152","CALS5152","","Aurora Ridge Dairy, LLC","Aurora Ridge Dairy, LLC","Aurora Ridge Dairy","Aurora Ridge Dairy, LLC","Ag Methane Advisors, LLC","Ruby Canyon Environmental, Inc.","Livestock - ARB Compliance","Registered","Active ARB Project","Cayuga County","NEW YORK","US","","","","74358","02/26/2015","11/09/2016","View","View","",
"CAR1110","CAFR5110","","Sierra Pacific Industries","Sierra Pacific Industries","Backbone","Sierra Pacific Industries","None","SCS Global Services","Improved Forest Management - ARB Compliance","Listed","Proposed Project","Shasta County - East of Redding","CALIFORNIA","US","","","","","01/21/2015","","View","View","",
"CAR1469","NA","","Radicle Group Inc.","Radicle Group Inc.","Balog Grasslands Project","","","","Canada Grassland","Listed","Not ARB Eligible","Forty Mile County #8","ALBERTA","CA","","","","","05/25/2021","","View","View","",
"CAR814","NA","","Montauk Energy Capital, LLC","Montauk Energy Capital, LLC","Bartow Landfill","","","Ruby Canyon Environmental, Inc.","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Bartow County, near Atlanta, Georgia","GEORGIA","US","","","","39849","07/07/2011","10/12/2011","View","View","www.montaukenergy.com",
"CAR1276","CALS5376","","Ag Methane Advisors, LLC","Ag Methane Advisors, LLC","Berkshire Cow Power","Pleasant Valley Farms of Berkshire, LLC","Ag Methane Advisors, LLC","","Livestock - ARB Compliance","Listed","Proposed Project","Berkshire","VERMONT","US","","","","","09/27/2017","","View","View","",
"CAR411","NA","","3Degrees Group, Inc","3Degrees Group, Inc","Beulah Municipal Landfill (Dorchester County, MD)","","","","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Hurlock","MARYLAND","US","","","","121799","11/06/2008","06/21/2010","View","View","",
"CAR790","NA","","Bi-County Gas Producers, LLC","Bi-County Gas Producers, LLC","Bi-County Landfill Gas Destruction Project","","","SCS Global Services","Landfill Gas Capture/Combustion","Registered","Not ARB Eligible","Montgomery County; Woodlawn","TENNESSEE","US","","","","639794","12/16/2010","03/01/2012","View","View","",
"CAR1090","CAFR5085","","Sierra Pacific Industries","Sierra Pacific Industries","Big Bend","Sierra Pacific Industries","None","SCS Global Services","Improved Forest Management - ARB Compliance","Listed","Proposed Project","Shasta County","CALIFORNIA","US","","","","","08/06/2014","","View","View","",
"CAR1380","CAFR6380","","Sierra Pacific Industries","Sierra Pacific Industries","Big Bend 2019","Sierra Pacific Industries","None","","Improved Forest Management - ARB Compliance","Completed","","Shasta County","CALIFORNIA","US","","","combined CAR1378, CAR1379, CAR1380 into CAR1381","","05/12/2021","","View","View","",
"CAR1402","CAFR6402","","Sierra Pacific Industries","Sierra Pacific Industries","Big McCarty","Sierra Pacific Industries","None","","Improved Forest Management - ARB Compliance","Completed","","Tehama County","CALIFORNIA","US","","","Combined into CAR1408 moving forward","","08/17/2020","","View","View","",
"CAR408","NA","","The Conservation Fund","The Conservation Fund","Big River / Salmon Creek Forests","","","","Conservation-Based Forest Management","Transitioned","Not ARB Eligible","Mendocino County, CA","CALIFORNIA","US","","","","2413157","10/30/2008","02/25/2009","View","View","",
"CAR1100","CAFR5106","","The Conservation Fund","The Conservation Fund","Big River / Salmon Creek Forests - ARB","The Conservation Fund","None","","Improved Forest Management - ARB Compliance","Registered","Active ARB Project","Mendocino County, CA","CALIFORNIA","US","","","","402424","01/08/2015","04/11/2017","View","View","www.conservationfund.org",
"CAR769","NA","","Big Run Power Producers, LLC","Big Run Power Producers, LLC","Big Run Landfill Gas Destruction Project","","","","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Boyd County; Ashland","KENTUCKY","US","","","","138492","07/01/2010","10/08/2011","View","View","",
"CAR1092","CAFR5087","","Sierra Pacific Industries","Sierra Pacific Industries","Big Valley","Sierra Pacific Industries","None","SCS Global Services","Improved Forest Management - ARB Compliance","Registered","Active Registry Project","Lassen and Modoc Counties California","CALIFORNIA","US","","","","52124","08/06/2014","03/31/2017","View","View","",
"CAR824","NA","","Montana-Dakota Utilities Co.","Montana-Dakota Utilities Co.","Billings Regional Landfill","","","","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Billings, MT","MONTANA","US","","","","173207","05/02/2011","12/10/2013","View","View","",
"CAR403","NA","","Black Warrior Solid Waste Disposal Authority","Black Warrior Solid Waste Disposal Authority","Black Warrior Solid Waste Facility","","","","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Coker","ALABAMA","US","","","","301063","11/06/2008","07/28/2009","View","View","",
"CAR997","CALS5014","","3Degrees Group, Inc","3Degrees Group, Inc","Blue Mountain Biogas","Phibro Americas LLC","3Degrees Group, Inc","Ruby Canyon Environmental, Inc.","Livestock - ARB Compliance","Registered","Active ARB Project","Beaver County, Utah","UTAH","US","","","","195421","08/26/2013","06/12/2014","View","View","",
"CAR456","NA","","3Degrees Group, Inc","3Degrees Group, Inc","Blue Ridge Landfill","","","Agri-Waste Technology, Inc.","Landfill Gas Capture/Combustion","Completed","Not ARB Eligible","Scotland, PA","PENNSYLVANIA","US","","","","200421","06/17/2009","04/05/2010","View","View","",
"CAR973","CAFR5003","","Blue Source, LLC","Blue Source, LLC","Blue Source - Bishop Improved Forest Management Project","Great Lakes Forests 1 LLC","Blue Source LLC","","Improved Forest Management - ARB Compliance","Registered","Active ARB Project","Upper Peninsula Michigan","MICHIGAN","US","","","","3492095","08/08/2012","04/25/2014","View","View","http://www.bluesource.com/contact/",
"CAR1195","CAFR5295","","Blue Source, LLC","Blue Source, LLC","Blue Source - Corkscrew Improved Forest Management Project","National Audubon Society, Inc.","Blue Source LLC","","Improved Forest Management - ARB Compliance","Completed","Inactive","Naples","FLORIDA","US","","","","","10/28/2015","","View","View","",
"CAR683","NA","","National Audubon Society, Inc.","National Audubon Society, Inc.","Blue Source - Francis Beidler Improved Forest Management Project","National Audubon Society, Inc","Blue Source, LLC","","Improved Forest Management","Registered","Not ARB Eligible","Berkeley, Dorchester and Orangeburg Counties","SOUTH CAROLINA","US","","","","872951","01/21/2011","03/28/2013","View","View","",
"CAR688","NA","","Michael A. Noles","Michael A. Noles","Blue Source - Noles North Avoided Conversion Forest Project","","Blue Source","","Avoided Conversion","Registered","Not ARB Eligible","Washington and Hyde Counties","NORTH CAROLINA","US","","","","107476","01/13/2011","06/20/2012","View","View","",
"CAR676","NA","","W. Brinkley Melvin","W. Brinkley Melvin","Blue Source - Pocosin Lakes Forest Conservation Project","","Blue Source","","Avoided Conversion","Registered","Not ARB Eligible","Tyrrell County","NORTH CAROLINA","US","","","","257042","10/04/2010","12/14/2012","View","View","",
"CAR659","NA","","David Dicktel","David Dicktel","Blue Source - Pungo River Forest Conservation Project","","Blue Source","","Avoided Conversion","Registered","Not ARB Eligible","Washington County, NC","NORTH CAROLINA","US","","","","259808","09/30/2010","06/19/2012","View","View","",
"CAR802","NA","","Michael A. Noles","Michael A. Noles","Blue Source -Noles South Avoided Conversion Forest Project","","Blue Source","","Avoided Conversion","Registered","Not ARB Eligible","Washington County","NORTH CAROLINA","US","","","","101538","01/19/2011","06/20/2012","View","View","",
"CAR1200","CAFR5300","","Blue Source, LLC","Blue Source, LLC","Blue Source- Goodwood Improved Forest Management Project","Goodwood Virginia, LLC","Blue Source LLC","","Improved Forest Management - ARB Compliance","Completed","Inactive","Franklin","VIRGINIA","US","","","","","10/30/2015","","View","View","",
"CAR1199","CAFR5299","","Blue Source, LLC","Blue Source, LLC","Blue Source- Stonewall Improved Forest Management Project","Stonewall Timberlands, LLC","Blue Source LLC","","Improved Forest Management - ARB Compliance","Completed","Inactive","Lawrenceville","VIRGINIA","US","","","","","10/30/2015","","View","View","",
"CAR1203","CAFR5303","","Blue Source, LLC","Blue Source, LLC","Blue Source- Sylvan Improved Forest Management Project","Sylvan Timberlands, LLC","Blue Source LLC","","Improved Forest Management - ARB Compliance","Completed","Inactive","Millinocket","MAINE","US","","","","","10/30/2015","","View","View","",
"CAR1207","CAFR5307","","Blue Source, LLC","Blue Source, LLC","Blue Source-Montrose Improved Forest Management Project","Rocky Creek Plantation, LLC","Blue Source LLC","","Improved Forest Management - ARB Compliance","Completed","Inactive","Chester","SOUTH CAROLINA","US","","","","","10/29/2015","","View","View","",
"CAR1196","CAFR5296","","Blue Source, LLC","Blue Source, LLC","Blue Source-Silver Bluff Improved Forest Management Project","National Audubon Society, Inc.","Blue Source LLC","","Improved Forest Management - ARB Compliance","Completed","Inactive","Augusta","GEORGIA","US","","","","","10/28/2015","","View","View","",
"CAR1202","CAFR5302","","Blue Source, LLC","Blue Source, LLC","Blue Source-Snowshoe Improved Forest Management Project","Snowshoe Timberlands, LLC","Blue Source LLC","","Improved Forest Management - ARB Compliance","Completed","Inactive","Enfield","MAINE","US","","","","","11/12/2015","","View","View","",
"CAR1210","CAFR5310","","Blue Source, LLC","Blue Source, LLC","Blue Source-Westervelt Atlantic Coast Improved Forest Management Project","The Westervelt Company","Blue Source LLC","","Improved Forest Management - ARB Compliance","Completed","Inactive","Franklin, VA","VIRGINIA","US","","","","","11/04/2015","","View","View","",
"CAR1212","CAFR5312","","Blue Source, LLC","Blue Source, LLC","Blue Source-Westervelt Gulf Coast Improved Forest Management Project","The Westervelt Company","Blue Source LLC","","Improved Forest Management - ARB Compliance","Completed","Inactive","Waynesboro","MISSISSIPPI","US","","","","","11/04/2015","","View","View","",
"CAR1211","CAFR5311","","Blue Source, LLC","Blue Source, LLC","Blue Source-Westervelt Piedmont Improved Forest Management Project","The Westervelt Company","Blue Source LLC","","Improved Forest Management - ARB Compliance","Completed","Inactive","Buhl, AL","ALABAMA","US","","","","","11/04/2015","","View","View","",
"CAR1201","CAFR5301","","Blue Source, LLC","Blue Source, LLC","Blue Source-Winchendon Improved Forest Management Project","Winchendon Forest LLC","Blue Source LLC","","Improved Forest Management - ARB Compliance","Completed","Inactive","Ashby","MASSACHUSETTS","US","","","","","10/30/2015","","View","View","",
"CAR1209","CAFR5309","","Blue Source, LLC","Blue Source, LLC","Blue Source-Wolf River Improved Forest Management Project","Wolf River ATP, LP","Blue Source LLC","","Improved Forest Management - ARB Compliance","Registered","Active ARB Project","Antigo, WI","WISCONSIN","US","","","","642771","11/04/2015","10/26/2017","View","View","",
"CAR1426","CAFR5426","","Blue Source, LLC","Blue Source, LLC","Bluesource - Allagash Headwaters Improved Forest Management Project","Hull Forestlands Maine, LLC","Bluesource LLC","","Improved Forest Management - ARB Compliance","Listed","Proposed Project","Piscataquis County","MAINE","US","","","","","07/30/2020","","View","View","",
